beetag_exprun,resp_rate,red_delta,log_PAM_delta,treat_ID,dose,temp,sym_state,e_coli_plate,col_num
R20W88_exp2B,-0.00516,-0.01059,-4.828313737,A_10_30_A,10,30,A,1,225
R12W56_exp1A,-0.00346,-0.08453,-3.473768074,A_10_30_A,10,30,A,1,162
R20W92_exp2B,-0.00314,0.00842,-0.695149183,A_10_30_S,10,30,S,1,223
R20Y93_exp1A,-0.00698,-0.11041,-3.194183212,A_10_30_S,10,30,S,1,157
R21W55_exp2A,-0.00327,0.00925,-1.064210862,A_10_30_S,10,30,S,1,233
R17W85_exp2A,-0.00544,0.03003,-4.135166557,A_10_30_S,10,30,S,1,222
R12W60_exp2B,-0.00943,-0.0557,-1.682008605,A_10_30_S,10,30,S,1,233
R15W77_exp1B,-0.00524,-0.04134,-1.944910649,A_10_30_S,10,30,S,1,190
R12W59_exp1A,-0.00516,-0.02311,-2.975929646,A_10_30_S,10,30,S,1,153
R1W7_exp1B,-0.00436,-0.0067,-1.265848208,A_10_30_S,10,30,S,1,182
W20O85_exp3B,-0.00529,0.00243,-1.465337568,A_10_30_S,10,30,S,1,251
W17O79_exp3B,-0.0069,-0.00416,-1.687399454,A_10_30_S,10,30,S,1,247
G37Y30_exp2B,-0.00505,0.00813,-2.796881415,A_5_20_A,5,20,A,1,216
G36Y25_exp2B,-0.00557,0.05319,-4.017383521,A_5_20_A,5,20,A,1,212
G30Y77_exp3A,-0.00652,0.07591,-2.900422094,A_5_20_A,5,20,A,1,237
G30Y77_exp2A,-0.00481,0.03355,-1.555897146,A_5_20_A,5,20,A,1,232
G32Y88_exp3A,-0.00545,-0.04332,-1.980501594,A_5_20_A,5,20,A,1,237
G38Y36_exp1B,-0.00257,0.00892,-1.7837913,A_5_20_A,5,20,A,1,187
G32Y88_exp2A,-0.00476,-0.04116,-4.710530702,A_5_20_A,5,20,A,1,218
G35Y14_exp1B,-0.00174,-0.03308,-1.609437912,A_5_20_A,5,20,A,1,178
